InstanceType,vCPUs,MemoryGiB,Storage,BaseClockSpeedGhz,Region
t4g.xlarge,4,16.0,N/A,2.5,ap-northeast-2
x2iedn.24xlarge,96,3072.0,2850,3.5,ap-northeast-2
t3a.nano,2,0.5,N/A,2.2,ap-northeast-2
x2iedn.32xlarge,128,4096.0,3800,3.5,ap-northeast-2
m6id.24xlarge,96,384.0,5700,3.5,ap-northeast-2
i3.metal,72,512.0,15200,2.3,ap-northeast-2
i4i.8xlarge,32,256.0,7500,3.5,ap-northeast-2
m7i-flex.xlarge,4,16.0,N/A,3.2,ap-northeast-2
m6g.2xlarge,8,32.0,N/A,2.5,ap-northeast-2
m5a.xlarge,4,16.0,N/A,2.5,ap-northeast-2
i4i.32xlarge,128,1024.0,30000,3.5,ap-northeast-2
c5.18xlarge,72,144.0,N/A,3.4,ap-northeast-2
